$ mvm ls --all
                                                   microVMs                                                   
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━┓
┃ microvm id                            ┃ state      ┃ image                 ┃ version ┃ started             ┃
│ microvm-32c40c2e-8201-343c-a021-b208… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 17:59:43 │
│ microvm-331ca141-9171-3788-81bb-41e2… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:29:51 │
│ microvm-33c42964-b9b0-3976-ab97-9d34… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:55:05 │
│ microvm-34f87dae-4ce5-3712-807b-3bc5… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:40:09 │
│ microvm-354f3b7d-942c-30f5-982e-4237… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:55:57 │
│ microvm-368c74f8-4087-36ed-a204-5be6… │ TERMINATED │ handoff-agent         │ 4.0     │ 2026-09-20 14:37:16 │
│ microvm-373918c9-9989-3d58-a4e5-0827… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:19:43 │
│ microvm-379f8592-cb95-3d64-92dd-8956… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:24:29 │
│ microvm-39186af0-91fb-3655-beb8-d945… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:40:40 │
│ microvm-3a2b4836-8847-3f07-b16e-5b49… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 15:03:57 │
│ microvm-3a6afe62-c46b-3378-98cf-684a… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:42:04 │
│ microvm-3a7d0c8e-bb7e-3089-84cc-c018… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:10:57 │
│ microvm-3b7bf19e-9468-3724-9662-8b1b… │ TERMINATED │ handoff-agent         │ 4.0     │ 2026-09-20 14:36:49 │
│ microvm-3b81de2f-cc81-31af-9e6e-04e0… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:11:42 │
│ microvm-3b9c29e0-f224-3a41-a962-223a… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:20:21 │
│ microvm-3bbc60fa-cd3f-3ffd-85e0-be63… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:57:18 │
│ microvm-3c0f910e-2a29-3825-8a8c-a7c3… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:05:24 │
│ microvm-3d548331-d1a5-35eb-8d8b-101f… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:43:36 │
│ microvm-3ecc6d5d-502e-3536-be6d-3bd8… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:19:48 │
│ microvm-3edc3eaf-fe32-3d77-8a76-385a… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:20:49 │
│ microvm-3f87946a-9426-33c4-9e63-986b… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:57:30 │
│ microvm-400cd0d8-fd89-388b-9f82-4932… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:11:03 │
│ microvm-41f879c5-f3e0-3d41-8a1e-31a0… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:10:57 │
│ microvm-42a23a86-3bf5-32cf-80c1-0b28… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:55:18 │
│ microvm-432b7461-8ce4-3bcc-b399-3ef9… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:03:33 │
